username;role;password;firstName;lastName;phone;email;administrator;active;site
User200;"ROLE_USER";password;John01;Doe01;11223301;John01@Doe01.fr;0;0;1
User201;"ROLE_USER";password;John02;Doe02;11223301;John02@Doe02.fr;0;0;1
User202;"ROLE_USER";password;John03;Doe03;11223301;John03@Doe03.fr;0;0;1
User203;"ROLE_USER";password;John04;Doe04;11223301;John04@Doe04.fr;0;0;1
User204;"ROLE_USER";password;John05;Doe05;11223301;John05@Doe05.fr;0;0;1
User205;"ROLE_USER";password;John06;Doe06;11223301;John06@Doe06.fr;0;0;1
User206;"ROLE_USER";password;John07;Doe07;11223301;John07@Doe07.fr;0;0;1
User207;"ROLE_USER";password;John08;Doe08;11223301;John08@Doe08.fr;0;0;1
User208;"ROLE_USER";password;John09;Doe09;11223301;John09@Doe09.fr;0;0;1
User209;"ROLE_USER";password;John10;Doe10;11223301;John10@Doe10.fr;0;0;1
User210;"ROLE_USER";password;John11;Doe11;11223301;John11@Doe11.fr;0;0;1
User211;"ROLE_USER";password;John12;Doe12;11223301;John12@Doe12.fr;0;0;1
User212;"ROLE_USER";password;John13;Doe13;11223301;John13@Doe13.fr;0;0;1
User213;"ROLE_USER";password;John14;Doe14;11223301;John14@Doe14.fr;0;0;1
User214;"ROLE_USER";password;John15;Doe15;11223301;John15@Doe15.fr;0;0;1
User215;"ROLE_ADMIN";password;John16;Doe16;11223301;John16@Doe16.fr;1;0;1
User216;"ROLE_ADMIN";password;John17;Doe17;11223301;John17@Doe17.fr;1;0;1
